R:A::C:P,0 1,2 3 4,5,6
0 1,0.30319148936170215,0.19414893617021275,0.023936170212765957,0.0797872340425532
2 3 4,0.08244680851063829,0.14893617021276595,0.026595744680851064,0.05319148936170213
5,0.010638297872340425,0.018617021276595744,0.007978723404255319,0.007978723404255319
6,0.007978723404255319,0.023936170212765957,0.007978723404255319,0.0026595744680851063
