R:A::C:P,0 4,1 6,2,3,5
0 4,0.11702127659574468,0.0398936170212766,0.015957446808510637,0.010638297872340425,0.013297872340425532
1 6,0.19680851063829788,0.15691489361702127,0.06382978723404255,0.047872340425531915,0.018617021276595744
2,0.05585106382978723,0.08776595744680851,0.034574468085106384,0.02127659574468085,0.015957446808510637
3,0.015957446808510637,0.007978723404255319,0.015957446808510637,0.007978723404255319,0.010638297872340425
5,0.013297872340425532,0.007978723404255319,0.005319148936170213,0.010638297872340425,0.007978723404255319
