R:A::C:P,0,1,2 3 6,4 5
0,0.4666666666666667,0.13333333333333333,0.2,0.2
1,0.28313253012048195,0.18674698795180722,0.3795180722891566,0.15060240963855423
2 3 6,0.10084033613445378,0.16806722689075632,0.44537815126050423,0.2857142857142857
4 5,0.1935483870967742,0.0,0.45161290322580644,0.3548387096774194
