R:A::C:P,0,1,2 3 5,4 6
0,0.3150684931506849,0.1780821917808219,0.273972602739726,0.2328767123287671
1,0.21428571428571427,0.25,0.32857142857142857,0.20714285714285716
2 3 5,0.12186379928315412,0.16487455197132617,0.4659498207885305,0.24731182795698925
4 6,0.12751677852348994,0.12080536912751678,0.40939597315436244,0.3422818791946309
