R:A::C:P,0,1,2,3,4,5,6,7
0,14,5,4,3,5,1,3,7
1,27,13,21,13,13,7,11,9
2,5,8,10,8,6,5,10,2
3,0,1,3,4,1,2,1,0
4,0,0,2,2,5,0,1,1
5,1,0,3,2,0,0,1,1
6,1,0,0,3,0,1,0,1
7,2,0,0,0,0,0,0,2
