R:A::C:P,comedy,history,tragedy
comedy,0.3155216284987277,0.0737913486005089,0.06361323155216285
history,0.05089058524173028,0.183206106870229,0.05089058524173028
tragedy,0.08142493638676845,0.06361323155216285,0.11704834605597965
