R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.4588235294117647,0.4576271186440678,0.35135135135135137,0.56
1,0.4470588235294118,0.5254237288135594,0.4594594594594595,0.16
3,0.054901960784313725,0.01694915254237288,0.08108108108108109,0.16
5,0.0392156862745098,0.0,0.10810810810810811,0.12
