name,overall,average,f1,mcc
0-1-2356-4,0.44654088050314467,0.4683890577507599,0.4009442938014367,0.25047391288453463
056-1-23-4,0.41509433962264153,0.4458188153310105,0.3814878052727832,0.21958695797175068
04-1-23-56,0.44025157232704404,0.412862950058072,0.37131576582189274,0.21249525875835135
0-156-23-4,0.42138364779874216,0.4477626994315056,0.3883335343670832,0.21029733726352912
01-23-4-56,0.5345911949685535,0.42714866434378634,0.3669632944375213,0.20800722123860926
0-123-4-56,0.5660377358490566,0.42564350064350065,0.37000499500499506,0.20267216270886515
0-1-23-456,0.389937106918239,0.40288126507638705,0.36426130698398096,0.19675193599963714
0-1-234-56,0.4276729559748428,0.39404761904761904,0.3573076458964961,0.19186406650434454
0-14-23-56,0.4276729559748428,0.3910014781966002,0.36281727916247375,0.17412072825712355
023-1-4-56,0.44025157232704404,0.37098997493734337,0.3124600768689439,0.11951791714004131
