                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-1-2356-4   44.65%     46.84%     40.09%     25.05%  
                    023-1-4-56   44.03%     37.10%     31.25%     11.95%  
                    04-1-23-56   44.03%     41.29%     37.13%     21.25%  
                    0-14-23-56   42.77%     39.10%     36.28%     17.41%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-156-23-4   42.14%     44.78%     38.83%     21.03%  
                    056-1-23-4   41.51%     44.58%     38.15%     21.96%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   44.65%     46.84%     40.09%     25.05%  
                    0-156-23-4   42.14%     44.78%     38.83%     21.03%  
                    056-1-23-4   41.51%     44.58%     38.15%     21.96%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    04-1-23-56   44.03%     41.29%     37.13%     21.25%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-14-23-56   42.77%     39.10%     36.28%     17.41%  
                    023-1-4-56   44.03%     37.10%     31.25%     11.95%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   44.65%     46.84%     40.09%     25.05%  
                    0-156-23-4   42.14%     44.78%     38.83%     21.03%  
                    056-1-23-4   41.51%     44.58%     38.15%     21.96%  
                    04-1-23-56   44.03%     41.29%     37.13%     21.25%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-14-23-56   42.77%     39.10%     36.28%     17.41%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    023-1-4-56   44.03%     37.10%     31.25%     11.95%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2356-4   44.65%     46.84%     40.09%     25.05%  
                    056-1-23-4   41.51%     44.58%     38.15%     21.96%  
                    04-1-23-56   44.03%     41.29%     37.13%     21.25%  
                    0-156-23-4   42.14%     44.78%     38.83%     21.03%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    0-1-23-456   38.99%     40.29%     36.43%     19.68%  
                    0-1-234-56   42.77%     39.40%     35.73%     19.19%  
                    0-14-23-56   42.77%     39.10%     36.28%     17.41%  
                    023-1-4-56   44.03%     37.10%     31.25%     11.95%  
