name,overall,average
Emphasis-No-Others-Percentages,0.5568181818181818,0.5605774493705528
Emphasis-No-Others-Percentages-Twofold,0.5568181818181818,0.5605774493705528
Emphasis-No-Others-Counts,0.5568181818181818,0.5601532567049808
Emphasis-No-Others-Counts-Twofold,0.5568181818181818,0.5601532567049808
Emphasis-Vowels-Only-No-Others-Percentages,0.5454545454545454,0.5506294471811713
Emphasis-Vowels-Only-No-Others-Percentages-Twofold,0.5454545454545454,0.5506294471811713
No-Others-Counts,0.5340909090909091,0.5275862068965518
No-Others-Counts-Twofold,0.5340909090909091,0.5275862068965518
Vowels-Only-No-Others-Percentages-Twofold,0.5227272727272727,0.5248221127531472
Vowels-Only-No-Others-Percentages,0.5227272727272727,0.5248221127531472
Emphasis-Vowels-Only-No-Others-Counts,0.5113636363636364,0.5157224958949097
Emphasis-Vowels-Only-No-Others-Counts-Twofold,0.5113636363636364,0.5157224958949097
Min-250-Counts,0.6954954954954955,0.5149239643144761
Min-250-Counts-Twofold,0.6954954954954955,0.5149239643144761
Min-100-Counts-Twofold,0.8053204353083434,0.5145142920817584
Min-100-Counts,0.8053204353083434,0.5145142920817584
Min-1000-Counts,0.5229007633587787,0.5092204857632627
Min-1000-Counts-Twofold,0.5229007633587787,0.5092204857632627
All-Counts-Twofold,0.9008825526137135,0.5076195737226796
All-Counts,0.9008825526137135,0.5076195737226796
Emphasis-Min-1000-Counts,0.5038167938931297,0.5057592555488769
Emphasis-Min-1000-Counts-Twofold,0.5038167938931297,0.5057592555488769
Emphasis-All-Counts-Twofold,0.8879837067209776,0.5044115271528753
Emphasis-All-Counts,0.8879837067209776,0.5044115271528753
Min-500-Counts-Twofold,0.6055979643765903,0.5024249994644732
Min-500-Counts,0.6055979643765903,0.5024249994644732
Emphasis-Min-250-Counts,0.6810810810810811,0.5010015635949087
Emphasis-Min-250-Counts-Twofold,0.6810810810810811,0.5010015635949087
Emphasis-All-Percentages-Twofold,0.38357094365241007,0.49489753576022716
Emphasis-All-Percentages,0.38357094365241007,0.49489753576022716
Emphasis-Min-500-Counts,0.6055979643765903,0.4929797785060943
Emphasis-Min-500-Counts-Twofold,0.6055979643765903,0.4929797785060943
Vowels-Only-No-Others-Counts,0.5,0.4887383689107827
Vowels-Only-No-Others-Counts-Twofold,0.5,0.4887383689107827
No-Others-Percentages,0.48863636363636365,0.4835796387520525
No-Others-Percentages-Twofold,0.48863636363636365,0.4835796387520525
Emphasis-Min-100-Counts-Twofold,0.7835550181378477,0.4790285118058731
Emphasis-Min-100-Counts,0.7835550181378477,0.4790285118058731
Emphasis-Min-1000-Percentages,0.44274809160305345,0.46892962888755313
Emphasis-Min-1000-Percentages-Twofold,0.44274809160305345,0.46892962888755313
Emphasis-Min-100-Percentages,0.4486094316807739,0.46763341302321815
Emphasis-Min-100-Percentages-Twofold,0.4486094316807739,0.46763341302321815
Emphasis-Vowels-Only-All-Percentages,0.2987101154107264,0.4668498396495409
Emphasis-Vowels-Only-All-Percentages-Twofold,0.2987101154107264,0.4668498396495409
Min-250-Percentages,0.43783783783783786,0.46000439270810456
Min-250-Percentages-Twofold,0.43783783783783786,0.46000439270810456
Emphasis-Vowels-Only-All-Counts-Twofold,0.9185336048879837,0.4575683341928829
Emphasis-Vowels-Only-All-Counts,0.9185336048879837,0.4575683341928829
Emphasis-Vowels-Only-Min-250-Counts,0.7477477477477478,0.4564755838641189
Emphasis-Vowels-Only-Min-250-Counts-Twofold,0.7477477477477478,0.4564755838641189
Emphasis-Vowels-Only-Min-100-Counts,0.8307134220072552,0.4537455934195065
Emphasis-Vowels-Only-Min-100-Counts-Twofold,0.8307134220072552,0.4537455934195065
Vowels-Only-Min-250-Counts,0.7639639639639639,0.45053836821352744
Vowels-Only-Min-250-Counts-Twofold,0.7639639639639639,0.45053836821352744
Min-100-Percentages,0.45102781136638453,0.4487234664521021
Min-100-Percentages-Twofold,0.45102781136638453,0.4487234664521021
Vowels-Only-All-Counts-Twofold,0.9205702647657841,0.4482884218669417
Vowels-Only-All-Counts,0.9205702647657841,0.4482884218669417
Min-1000-Percentages,0.4198473282442748,0.4422816625481422
Min-1000-Percentages-Twofold,0.4198473282442748,0.4422816625481422
Emphasis-Vowels-Only-Min-500-Counts-Twofold,0.6513994910941476,0.4421896086369771
Emphasis-Vowels-Only-Min-500-Counts,0.6513994910941476,0.4421896086369771
Vowels-Only-Min-100-Counts,0.845223700120919,0.4398145039449387
Vowels-Only-Min-100-Counts-Twofold,0.845223700120919,0.4398145039449387
Emphasis-Vowels-Only-Min-1000-Percentages,0.3702290076335878,0.4396652864044168
Emphasis-Vowels-Only-Min-1000-Percentages-Twofold,0.3702290076335878,0.4396652864044168
Emphasis-Min-250-Percentages-Twofold,0.4252252252252252,0.4358984918368841
Emphasis-Min-250-Percentages,0.4252252252252252,0.4358984918368841
Vowels-Only-All-Percentages-Twofold,0.3469110658520027,0.4335547044038579
Vowels-Only-All-Percentages,0.3469110658520027,0.4335547044038579
All-Percentages-Twofold,0.4059742023082145,0.42730852050766777
All-Percentages,0.4059742023082145,0.42730852050766777
Emphasis-Vowels-Only-Min-1000-Counts-Twofold,0.5267175572519084,0.4267297802711547
Emphasis-Vowels-Only-Min-1000-Counts,0.5267175572519084,0.4267297802711547
Vowels-Only-Min-500-Counts,0.6564885496183206,0.4254205224599961
Vowels-Only-Min-500-Counts-Twofold,0.6564885496183206,0.4254205224599961
Vowels-Only-Min-1000-Percentages,0.2748091603053435,0.4241668336338743
