R:A::C:P,0,1,2 6,3 5,4
0,0.43243243243243246,0.25675675675675674,0.12162162162162163,0.10810810810810811,0.08108108108108109
1,0.24146981627296588,0.2650918635170604,0.2073490813648294,0.15485564304461943,0.13123359580052493
2 6,0.13213213213213212,0.12912912912912913,0.3108108108108108,0.29429429429429427,0.13363363363363365
3 5,0.1717171717171717,0.11616161616161616,0.2474747474747475,0.3181818181818182,0.14646464646464646
4,0.1095890410958904,0.0684931506849315,0.3013698630136986,0.3013698630136986,0.2191780821917808
