R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.45,0.15416666666666667,0.09583333333333334,0.1125,0.1875
1,0.43214285714285716,0.25,0.125,0.11071428571428571,0.08214285714285714
2,0.36046511627906974,0.18023255813953487,0.1744186046511628,0.13953488372093023,0.14534883720930233
3,0.36,0.16,0.18,0.18,0.12
4,0.46153846153846156,0.02564102564102564,0.23076923076923078,0.10256410256410256,0.1794871794871795
