                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   0-123-4-5-6   44.13%     28.31%     24.26%     8.76%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   0-12-34-5-6   35.22%     26.86%     22.27%     8.20%   
                   0-12-3-4-56   34.82%     35.04%     26.47%     12.96%  
                   0-12-3-45-6   34.01%     28.36%     23.29%     9.02%   
                   0-1-234-5-6   30.77%     23.11%     20.58%     5.56%   
                   0-1-23-4-56   27.13%     31.98%     24.92%     10.66%  
                   0-1-23-45-6   26.32%     25.30%     21.74%     6.72%   
                   0-1-2-345-6   24.70%     26.48%     21.56%     7.28%   
                   0-1-2-34-56   23.89%     29.45%     22.68%     8.69%   
                   0-1-2-3-456   23.08%     29.23%     22.48%     8.16%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-12-3-4-56   34.82%     35.04%     26.47%     12.96%  
                   0-1-23-4-56   27.13%     31.98%     24.92%     10.66%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   0-1-2-34-56   23.89%     29.45%     22.68%     8.69%   
                   0-1-2-3-456   23.08%     29.23%     22.48%     8.16%   
                   0-12-3-45-6   34.01%     28.36%     23.29%     9.02%   
                   0-123-4-5-6   44.13%     28.31%     24.26%     8.76%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   0-12-34-5-6   35.22%     26.86%     22.27%     8.20%   
                   0-1-2-345-6   24.70%     26.48%     21.56%     7.28%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   0-1-23-45-6   26.32%     25.30%     21.74%     6.72%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   0-1-234-5-6   30.77%     23.11%     20.58%     5.56%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-12-3-4-56   34.82%     35.04%     26.47%     12.96%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   0-1-23-4-56   27.13%     31.98%     24.92%     10.66%  
                   0-123-4-5-6   44.13%     28.31%     24.26%     8.76%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   0-12-3-45-6   34.01%     28.36%     23.29%     9.02%   
                   0-1-2-34-56   23.89%     29.45%     22.68%     8.69%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   0-1-2-3-456   23.08%     29.23%     22.48%     8.16%   
                   0-12-34-5-6   35.22%     26.86%     22.27%     8.20%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   0-1-23-45-6   26.32%     25.30%     21.74%     6.72%   
                   0-1-2-345-6   24.70%     26.48%     21.56%     7.28%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   0-1-234-5-6   30.77%     23.11%     20.58%     5.56%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-12-3-4-56   34.82%     35.04%     26.47%     12.96%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   0-1-23-4-56   27.13%     31.98%     24.92%     10.66%  
                   0-12-3-45-6   34.01%     28.36%     23.29%     9.02%   
                   0-123-4-5-6   44.13%     28.31%     24.26%     8.76%   
                   0-1-2-34-56   23.89%     29.45%     22.68%     8.69%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   0-12-34-5-6   35.22%     26.86%     22.27%     8.20%   
                   0-1-2-3-456   23.08%     29.23%     22.48%     8.16%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   0-1-2-345-6   24.70%     26.48%     21.56%     7.28%   
                   0-1-23-45-6   26.32%     25.30%     21.74%     6.72%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   0-1-234-5-6   30.77%     23.11%     20.58%     5.56%   
