R:A::C:P,0,1 6,2,3 4 5
0,0.40476190476190477,0.16129032258064516,0.08,0.18032786885245902
1 6,0.4523809523809524,0.5806451612903226,0.44,0.39344262295081966
2,0.09523809523809523,0.1935483870967742,0.32,0.26229508196721313
3 4 5,0.047619047619047616,0.06451612903225806,0.16,0.16393442622950818
