R:A::C:P,0,1 3 5,2,4,6
0,0.48148148148148145,0.3333333333333333,0.037037037037037035,0.14814814814814814,0.0
1 3 5,0.22388059701492538,0.5223880597014925,0.16417910447761194,0.07462686567164178,0.014925373134328358
2,0.14814814814814814,0.4444444444444444,0.3333333333333333,0.07407407407407407,0.0
4,0.25,0.0,0.25,0.25,0.25
6,0.0,1.0,0.0,0.0,0.0
