R:A::C:P,0,1 4,2 5 6,3
0,0.5,0.23809523809523808,0.19047619047619047,0.07142857142857142
1 4,0.272,0.256,0.352,0.12
2 5 6,0.14705882352941177,0.22058823529411764,0.4411764705882353,0.19117647058823528
3,0.0,0.16666666666666666,0.5,0.3333333333333333
