R:A::C:P,0 4,1 3,2,5 6
0 4,0.06274007682458387,0.029449423815621,0.019206145966709345,0.03201024327784891
1 3,0.11907810499359796,0.15108834827144688,0.056338028169014086,0.09603072983354674
2,0.06145966709346991,0.07042253521126761,0.03841229193341869,0.0499359795134443
5 6,0.06658130601792574,0.058898847631242,0.02176696542893726,0.06658130601792574
