                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  01-2-3-4-5-6   30.86%     22.82%     21.34%     7.64%   
                  0-12-3-4-5-6   29.96%     23.45%     20.56%     7.03%   
                  0-16-2-3-4-5   28.17%     23.60%     20.86%     7.33%   
                  0-13-2-4-5-6   26.50%     23.19%     21.11%     6.92%   
                  0-1-24-3-5-6   25.86%     24.11%     22.16%     8.19%   
                  0-1-23-4-5-6   25.74%     23.90%     21.78%     8.03%   
                  0-15-2-3-4-6   25.74%     22.41%     20.33%     5.82%   
                  0-1-25-3-4-6   25.48%     23.30%     21.23%     7.36%   
                  02-1-3-4-5-6   25.22%     21.82%     20.12%     5.81%   
                  0-1-2-3-46-5   24.97%     24.54%     22.26%     8.58%   
                  0-1-26-3-4-5   24.71%     23.17%     20.36%     6.50%   
                  0-14-2-3-5-6   24.58%     22.52%     20.58%     5.52%   
                  0-1-2-3-4-56   24.46%     23.51%     21.25%     7.58%   
                  0-1-2-36-4-5   24.20%     23.72%     21.41%     7.72%   
                  04-1-2-3-5-6   23.94%     23.45%     21.11%     7.60%   
                  0-1-2-3-45-6   23.69%     24.15%     21.59%     8.13%   
                  06-1-2-3-4-5   23.69%     21.77%     19.91%     5.82%   
                  05-1-2-3-4-6   23.56%     22.18%     20.21%     6.52%   
                  0-1-2-35-4-6   23.43%     23.50%     21.13%     7.60%   
                  0-1-2-34-5-6   22.79%     23.28%     21.08%     7.41%   
                  03-1-2-4-5-6   22.66%     21.71%     19.89%     6.02%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-3-46-5   24.97%     24.54%     22.26%     8.58%   
                  0-1-2-3-45-6   23.69%     24.15%     21.59%     8.13%   
                  0-1-24-3-5-6   25.86%     24.11%     22.16%     8.19%   
                  0-1-23-4-5-6   25.74%     23.90%     21.78%     8.03%   
                  0-1-2-36-4-5   24.20%     23.72%     21.41%     7.72%   
                  0-16-2-3-4-5   28.17%     23.60%     20.86%     7.33%   
                  0-1-2-3-4-56   24.46%     23.51%     21.25%     7.58%   
                  0-1-2-35-4-6   23.43%     23.50%     21.13%     7.60%   
                  04-1-2-3-5-6   23.94%     23.45%     21.11%     7.60%   
                  0-12-3-4-5-6   29.96%     23.45%     20.56%     7.03%   
                  0-1-25-3-4-6   25.48%     23.30%     21.23%     7.36%   
                  0-1-2-34-5-6   22.79%     23.28%     21.08%     7.41%   
                  0-13-2-4-5-6   26.50%     23.19%     21.11%     6.92%   
                  0-1-26-3-4-5   24.71%     23.17%     20.36%     6.50%   
                  01-2-3-4-5-6   30.86%     22.82%     21.34%     7.64%   
                  0-14-2-3-5-6   24.58%     22.52%     20.58%     5.52%   
                  0-15-2-3-4-6   25.74%     22.41%     20.33%     5.82%   
                  05-1-2-3-4-6   23.56%     22.18%     20.21%     6.52%   
                  02-1-3-4-5-6   25.22%     21.82%     20.12%     5.81%   
                  06-1-2-3-4-5   23.69%     21.77%     19.91%     5.82%   
                  03-1-2-4-5-6   22.66%     21.71%     19.89%     6.02%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-3-46-5   24.97%     24.54%     22.26%     8.58%   
                  0-1-24-3-5-6   25.86%     24.11%     22.16%     8.19%   
                  0-1-23-4-5-6   25.74%     23.90%     21.78%     8.03%   
                  0-1-2-3-45-6   23.69%     24.15%     21.59%     8.13%   
                  0-1-2-36-4-5   24.20%     23.72%     21.41%     7.72%   
                  01-2-3-4-5-6   30.86%     22.82%     21.34%     7.64%   
                  0-1-2-3-4-56   24.46%     23.51%     21.25%     7.58%   
                  0-1-25-3-4-6   25.48%     23.30%     21.23%     7.36%   
                  0-1-2-35-4-6   23.43%     23.50%     21.13%     7.60%   
                  0-13-2-4-5-6   26.50%     23.19%     21.11%     6.92%   
                  04-1-2-3-5-6   23.94%     23.45%     21.11%     7.60%   
                  0-1-2-34-5-6   22.79%     23.28%     21.08%     7.41%   
                  0-16-2-3-4-5   28.17%     23.60%     20.86%     7.33%   
                  0-14-2-3-5-6   24.58%     22.52%     20.58%     5.52%   
                  0-12-3-4-5-6   29.96%     23.45%     20.56%     7.03%   
                  0-1-26-3-4-5   24.71%     23.17%     20.36%     6.50%   
                  0-15-2-3-4-6   25.74%     22.41%     20.33%     5.82%   
                  05-1-2-3-4-6   23.56%     22.18%     20.21%     6.52%   
                  02-1-3-4-5-6   25.22%     21.82%     20.12%     5.81%   
                  06-1-2-3-4-5   23.69%     21.77%     19.91%     5.82%   
                  03-1-2-4-5-6   22.66%     21.71%     19.89%     6.02%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-2-3-46-5   24.97%     24.54%     22.26%     8.58%   
                  0-1-24-3-5-6   25.86%     24.11%     22.16%     8.19%   
                  0-1-2-3-45-6   23.69%     24.15%     21.59%     8.13%   
                  0-1-23-4-5-6   25.74%     23.90%     21.78%     8.03%   
                  0-1-2-36-4-5   24.20%     23.72%     21.41%     7.72%   
                  01-2-3-4-5-6   30.86%     22.82%     21.34%     7.64%   
                  04-1-2-3-5-6   23.94%     23.45%     21.11%     7.60%   
                  0-1-2-35-4-6   23.43%     23.50%     21.13%     7.60%   
                  0-1-2-3-4-56   24.46%     23.51%     21.25%     7.58%   
                  0-1-2-34-5-6   22.79%     23.28%     21.08%     7.41%   
                  0-1-25-3-4-6   25.48%     23.30%     21.23%     7.36%   
                  0-16-2-3-4-5   28.17%     23.60%     20.86%     7.33%   
                  0-12-3-4-5-6   29.96%     23.45%     20.56%     7.03%   
                  0-13-2-4-5-6   26.50%     23.19%     21.11%     6.92%   
                  05-1-2-3-4-6   23.56%     22.18%     20.21%     6.52%   
                  0-1-26-3-4-5   24.71%     23.17%     20.36%     6.50%   
                  03-1-2-4-5-6   22.66%     21.71%     19.89%     6.02%   
                  06-1-2-3-4-5   23.69%     21.77%     19.91%     5.82%   
                  0-15-2-3-4-6   25.74%     22.41%     20.33%     5.82%   
                  02-1-3-4-5-6   25.22%     21.82%     20.12%     5.81%   
                  0-14-2-3-5-6   24.58%     22.52%     20.58%     5.52%   
