R:A::C:P,0,1 2 4 5,3,6
0,0.48148148148148145,0.5185185185185185,0.0,0.0
1 2 4 5,0.21505376344086022,0.6451612903225806,0.12903225806451613,0.010752688172043012
3,0.0,0.4,0.4,0.2
6,0.0,0.0,1.0,0.0
