character,actual,predicted
2H6_PETITIONERS.0.1,m,f
2H6_PETITIONERS.0.2,m,f
2H6_PRENTICES.1,m,f
2H6_PRENTICES.2,m,m
2H6_QueenMargaret,f,m
2H6_RichardIII,m,m
2H6_SERVANTS.GLOUCESTER.0.1,m,m
2H6_SOLDIERS.1,m,m
2H6_Salisbury,m,m
2H6_Sawyer,m,m
2H6_Saye,m,m
2H6_Scales,m,m
2H6_Sheriff,m,m
2H6_Simpcox,m,f
2H6_SimpcoxWife,f,m
2H6_Smith,m,m
2H6_Somerset,m,m
2H6_Spirit,m,m
2H6_Stafford,m,m
2H6_Stanley,m,f
2H6_Suffolk,m,f
2H6_Thump,m,f
2H6_Vaux,m,m
2H6_Warwick,m,m
2H6_Whitmore,m,m
2H6_WilliamStafford,m,m
2H6_York,m,m
2H6_YoungClifford,m,f
3H6_ALDERMEN,m,m
3H6_ATTENDANTS.EDWARD.1,m,m
3H6_Clarence,m,m
3H6_Clifford,m,f
3H6_EdwardIV,m,m
3H6_Exeter,m,m
3H6_Father,m,f
3H6_GAMEKEEPERS.1,m,m
3H6_GAMEKEEPERS.2,m,m
3H6_Hastings,m,m
3H6_HenryVI,m,f
3H6_Huntsman,m,m
3H6_JohnMortimer,m,f
3H6_KingLewis,m,m
3H6_LadyBona,f,m
3H6_Lieutenant,m,m
3H6_MESSENGERS.1,m,m
3H6_MESSENGERS.2,m,f
3H6_MESSENGERS.Post,m,m
3H6_MESSENGERS.X.1,m,m
3H6_MESSENGERS.X.2,m,m
3H6_MESSENGERS.X.3,m,m
3H6_MESSENGERS.X.4,m,m
3H6_MESSENGERS.X.5,m,m
3H6_MayorOfYork,m,m
3H6_Montague,m,m
3H6_Montgomery,m,f
3H6_Norfolk,m,f
3H6_Northumberland,m,f
3H6_Oxford,m,m
3H6_PrinceEdward,m,f
3H6_QueenElizabeth,f,f
3H6_QueenMargaret,f,f
3H6_RichardIII,m,m
3H6_Rivers,m,m
3H6_Rutland,m,f
3H6_SOLDIERS.MONTGOMERY,m,m
3H6_SOLDIERS.YORK,m,m
3H6_SOLDIERS.YORK.0.1,m,m
3H6_Somerset,m,m
3H6_Somerville,m,f
3H6_Son,m,f
3H6_Tutor,m,m
