R:A::C:P,0 4,1,2 5,3 6
0 4,0.13963963963963963,0.10256410256410256,0.10946745562130178,0.06382978723404255
1,0.31981981981981983,0.43162393162393164,0.1893491124260355,0.19680851063829788
2 5,0.23423423423423423,0.26495726495726496,0.28994082840236685,0.2845744680851064
3 6,0.3063063063063063,0.20085470085470086,0.41124260355029585,0.45478723404255317
