                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1256-3-4   50.20%     45.11%     35.89%     18.28%  
                    01-256-3-4   45.34%     42.43%     34.57%     17.23%  
                    0-1-2356-4   37.65%     43.50%     33.86%     17.67%  
                    0256-1-3-4   37.25%     38.45%     28.37%     9.36%   
                    0-13-256-4   35.63%     41.24%     33.95%     14.02%  
                    0-14-256-3   35.22%     38.26%     32.38%     12.94%  
                    0-1-2456-3   33.60%     37.83%     30.13%     12.30%  
                    04-1-256-3   32.39%     37.53%     29.58%     12.11%  
                    03-1-256-4   31.17%     38.43%     29.70%     11.69%  
                    0-1-256-34   31.17%     39.64%     31.14%     13.91%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1256-3-4   50.20%     45.11%     35.89%     18.28%  
                    0-1-2356-4   37.65%     43.50%     33.86%     17.67%  
                    01-256-3-4   45.34%     42.43%     34.57%     17.23%  
                    0-13-256-4   35.63%     41.24%     33.95%     14.02%  
                    0-1-256-34   31.17%     39.64%     31.14%     13.91%  
                    0256-1-3-4   37.25%     38.45%     28.37%     9.36%   
                    03-1-256-4   31.17%     38.43%     29.70%     11.69%  
                    0-14-256-3   35.22%     38.26%     32.38%     12.94%  
                    0-1-2456-3   33.60%     37.83%     30.13%     12.30%  
                    04-1-256-3   32.39%     37.53%     29.58%     12.11%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1256-3-4   50.20%     45.11%     35.89%     18.28%  
                    01-256-3-4   45.34%     42.43%     34.57%     17.23%  
                    0-13-256-4   35.63%     41.24%     33.95%     14.02%  
                    0-1-2356-4   37.65%     43.50%     33.86%     17.67%  
                    0-14-256-3   35.22%     38.26%     32.38%     12.94%  
                    0-1-256-34   31.17%     39.64%     31.14%     13.91%  
                    0-1-2456-3   33.60%     37.83%     30.13%     12.30%  
                    03-1-256-4   31.17%     38.43%     29.70%     11.69%  
                    04-1-256-3   32.39%     37.53%     29.58%     12.11%  
                    0256-1-3-4   37.25%     38.45%     28.37%     9.36%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1256-3-4   50.20%     45.11%     35.89%     18.28%  
                    0-1-2356-4   37.65%     43.50%     33.86%     17.67%  
                    01-256-3-4   45.34%     42.43%     34.57%     17.23%  
                    0-13-256-4   35.63%     41.24%     33.95%     14.02%  
                    0-1-256-34   31.17%     39.64%     31.14%     13.91%  
                    0-14-256-3   35.22%     38.26%     32.38%     12.94%  
                    0-1-2456-3   33.60%     37.83%     30.13%     12.30%  
                    04-1-256-3   32.39%     37.53%     29.58%     12.11%  
                    03-1-256-4   31.17%     38.43%     29.70%     11.69%  
                    0256-1-3-4   37.25%     38.45%     28.37%     9.36%   
