R:A::C:P,antag,fool,other,protag
antag,0.05263157894736842,0.03333333333333333,0.026153846153846153,0.11666666666666667
fool,0.03508771929824561,0.2,0.010769230769230769,0.03333333333333333
other,0.7719298245614035,0.7333333333333333,0.9492307692307692,0.5833333333333334
protag,0.14035087719298245,0.03333333333333333,0.013846153846153847,0.26666666666666666
