R:A::C:P,antag,fool,other,protag
antag,0.0,0.0625,0.07339449541284404,0.041666666666666664
fool,0.5,0.25,0.03058103975535168,0.08333333333333333
other,0.5,0.5625,0.8256880733944955,0.6666666666666666
protag,0.0,0.125,0.07033639143730887,0.20833333333333334
