R:A::C:P,0,1 5,2 3 4
0,0.42105263157894735,0.47368421052631576,0.10526315789473684
1 5,0.2702702702702703,0.32432432432432434,0.40540540540540543
2 3 4,0.16666666666666666,0.125,0.7083333333333334
