R:A::C:P,0 4,1 2 3,5
0 4,0.391304347826087,0.18518518518518517,0.6666666666666666
1 2 3,0.6086956521739131,0.7962962962962963,0.3333333333333333
5,0.0,0.018518518518518517,0.0
