R:A::C:P,0,1,2,3,4,5 6
0,28,12,10,6,5,7
1,67,43,40,19,27,30
2,17,20,24,21,10,19
3,3,3,9,5,2,12
4,3,2,5,1,0,13
5 6,12,6,6,10,14,15
