R:A::C:P,0 5,1,2 4,3
0 5,0.5,0.4,0.05,0.05
1,0.3055555555555556,0.2777777777777778,0.3055555555555556,0.1111111111111111
2 4,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.2857142857142857
3,0.0,0.0,1.0,0.0
