R:A::C:P,0 5,1,2 4,3
0 5,0.4,0.38095238095238093,0.043478260869565216,0.09090909090909091
1,0.44,0.47619047619047616,0.4782608695652174,0.36363636363636365
2 4,0.16,0.14285714285714285,0.34782608695652173,0.5454545454545454
3,0.0,0.0,0.13043478260869565,0.0
