R:A::C:P,0,1 2 3 4,5 6
0,0.43243243243243246,0.47297297297297297,0.0945945945945946
1 2 3 4,0.18772563176895307,0.5944645006016848,0.21780986762936222
5 6,0.13552361396303902,0.4948665297741273,0.36960985626283366
