R:A::C:P,0,1 3,2 5,4 6
0,0.1069182389937107,0.0440251572327044,0.025157232704402517,0.0440251572327044
1 3,0.11320754716981132,0.20754716981132076,0.11320754716981132,0.050314465408805034
2 5,0.031446540880503145,0.10062893081761007,0.08176100628930817,0.025157232704402517
4 6,0.012578616352201259,0.018867924528301886,0.006289308176100629,0.018867924528301886
