R:A::C:P,0 4,1,2,3,5 6
0 4,0.19148936170212766,0.16279069767441862,0.1595744680851064,0.11290322580645161,0.20833333333333334
1,0.5,0.5,0.425531914893617,0.3064516129032258,0.3125
2,0.14361702127659576,0.23255813953488372,0.2553191489361702,0.3387096774193548,0.19791666666666666
3,0.026595744680851064,0.03488372093023256,0.09574468085106383,0.08064516129032258,0.125
5 6,0.13829787234042554,0.06976744186046512,0.06382978723404255,0.16129032258064516,0.15625
