R:A::C:P,comedy,history,tragedy
comedy,0.48036951501154734,0.16455696202531644,0.27208480565371024
history,0.21478060046189376,0.5843881856540084,0.21024734982332155
tragedy,0.30484988452655887,0.2510548523206751,0.5176678445229682
