R:A::C:P,0 3,1,2 4,5,6
0 3,0.2876712328767123,0.21428571428571427,0.29545454545454547,0.18181818181818182,0.0
1,0.410958904109589,0.6428571428571429,0.38636363636363635,0.45454545454545453,0.0
2 4,0.2465753424657534,0.14285714285714285,0.29545454545454547,0.36363636363636365,0.6666666666666666
5,0.0273972602739726,0.0,0.022727272727272728,0.0,0.3333333333333333
6,0.0273972602739726,0.0,0.0,0.0,0.0
