R:A::C:P,0,1,2,3,4 5 6
0,0.3230769230769231,0.1724137931034483,0.09090909090909091,0.08571428571428572,0.12162162162162163
1,0.5076923076923077,0.4827586206896552,0.5,0.37142857142857144,0.43243243243243246
2,0.1076923076923077,0.27586206896551724,0.22727272727272727,0.22857142857142856,0.28378378378378377
3,0.0,0.034482758620689655,0.06818181818181818,0.11428571428571428,0.05405405405405406
4 5 6,0.06153846153846154,0.034482758620689655,0.11363636363636363,0.2,0.10810810810810811
