R:A::C:P,0 1 3 4,2 6,5
0 1 3 4,0.5847107438016529,0.5538461538461539,0.5
2 6,0.35330578512396693,0.36923076923076925,0.38235294117647056
5,0.06198347107438017,0.07692307692307693,0.11764705882352941
