R:A::C:P,0 4,1 5,2 3
0 4,0.42857142857142855,0.42857142857142855,0.14285714285714285
1 5,0.2702702702702703,0.32432432432432434,0.40540540540540543
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818
