name,overall,average
3H6,1.0,1.0,1.0,1.0
2H6,1.0,1.0,1.0,1.0
MND,0.8931398416886543,0.8096127415312475,0.777022389279294,0.5603638712113012
Ant,0.8219321148825065,0.7660372842217904,0.6143746822888959,0.45983636772632813
Err,0.7005597014925373,0.6246669089147286,0.5285025013068172,0.44109423665989317
Per,0.7843915343915344,0.698495865412033,0.5661252187071453,0.39655021387951034
Cor,0.7955020920502092,0.6825326961770624,0.5501234339727258,0.3594170070719027
Oth,0.6575,0.5997921798029557,0.49459250856123826,0.35235496692290247
TGV,0.4913461538461538,0.5556032509157509,0.45498536828684366,0.32955937308535366
Tit,0.7016666666666667,0.5182804802955665,0.4709264548660833,0.3293771570006696
Rom,0.6893995552260934,0.6232247442559729,0.4718958492565131,0.3082041614827112
Tim,0.7432972047917855,0.6125256856964174,0.43742945683843953,0.28862091420011604
LLL,0.5965909090909091,0.5385328389830508,0.45016700285258665,0.28465509597410543
JC,0.6773809523809524,0.5376454654895666,0.4149057134509873,0.2670688057742783
Mac,0.7919655667144907,0.5453720328759636,0.4712687251843725,0.25949487039596064
Lr,0.5913461538461539,0.5018291170634921,0.3811328244825782,0.2562019605909056
WT,0.5965346534653465,0.49222379500580715,0.4062332167952475,0.2516177711278185
MV,0.5717592592592593,0.4496670081967213,0.4029332788464744,0.24058341357758956
Shr,0.6275911365260901,0.566479499020431,0.43748811505921403,0.23305721689713077
R3,0.8254564983888292,0.6769834959384535,0.5753342273665388,0.21555092320304126
Tmp,0.5602605863192183,0.5071064946562954,0.37517868789856273,0.20904794601684817
1H4,0.625,0.4398893360160966,0.336615238925217,0.1970407315110338
TN,0.43933823529411764,0.4179953231292517,0.31045417505166817,0.1835633852178665
2H4,0.6288759689922481,0.42552083333333335,0.34525880772649253,0.17883374524735096
R2,0.6785714285714286,0.505026455026455,0.38546489092358244,0.1638757096154128
Tro,0.6847826086956522,0.4786951909476662,0.3847857486759749,0.1592109701683646
AWW,0.5089285714285714,0.4288175366300367,0.3382254737434631,0.15255827904936564
MM,0.5625,0.34635416666666663,0.3311320185494854,0.1435921808958704
Jn,0.5983483483483484,0.4884376941761283,0.39715257971372747,0.13364736579890665
Ham,0.6453947368421052,0.3283247180451128,0.314940510952084,0.12318623286799436
Ado,0.6087962962962963,0.3433919270833333,0.2897795850631796,0.11496860662839971
H8,0.7612101566720691,0.34963927181198234,0.3489454950237932,0.11453188490835242
H5,0.6789625360230548,0.4072084374903559,0.39050873829568505,0.10750598957670017
Cym,0.5840909090909091,0.3361855158730158,0.2808030635823355,0.10617724636402931
1H6,0.6967957914873266,0.28871555204493593,0.30291670265756815,0.06237240542965337
AYL,0.5885714285714285,0.26642479956830095,0.28057868869717467,0.04442443517538489
Wiv,0.5817091454272864,0.23950617283950618,0.2610158089471914,-0.03164558683280617
TNK,0.7463933181473045,0.38700787401574804,0.4273913043478261,-0.10154753940754965
