R:A::C:P,0,1,2 3,4 5 6
0,0.4857142857142857,0.14285714285714285,0.11428571428571428,0.2571428571428571
1,0.2571428571428571,0.2571428571428571,0.32857142857142857,0.15714285714285714
2 3,0.0975609756097561,0.12195121951219512,0.5609756097560976,0.21951219512195122
4 5 6,0.23076923076923078,0.0,0.46153846153846156,0.3076923076923077
