name,overall,average,f1,mcc
01-26-3-4-5,0.41295546558704455,0.31783216783216783,0.260229101602428,0.11678999288313321
01-25-3-4-6,0.4048582995951417,0.3092300172945334,0.25863943443899035,0.11750674150519222
01-2-3-4-56,0.3805668016194332,0.31677396677396674,0.2542324709752555,0.11341930953349988
01-2-35-4-6,0.38866396761133604,0.3015358715358715,0.25146723687070155,0.11020386547269581
016-2-3-4-5,0.44129554655870445,0.30572390572390573,0.25039993090726137,0.09521607338325369
01-2-36-4-5,0.38866396761133604,0.3104247604247604,0.24590298717499648,0.10783707066065151
015-2-3-4-6,0.41295546558704455,0.29583230680791656,0.2448072507386585,0.09389335630162196
01-23-4-5-6,0.41700404858299595,0.2602564102564103,0.2345460050462574,0.08550719357344926
012-3-4-5-6,0.5384615384615384,0.2756709956709957,0.22535177662855133,0.07843677930387052
01-2-3-46-5,0.3765182186234818,0.26788168258756495,0.2236588797221016,0.07943319817976743
01-2-3-45-6,0.3724696356275304,0.2499250262408157,0.22242811049133238,0.07403539270682977
01-24-3-5-6,0.4048582995951417,0.231025641025641,0.2170296035512016,0.06520383238202701
013-2-4-5-6,0.44129554655870445,0.23985088985088984,0.2161961409348169,0.046817187669153125
01-2-34-5-6,0.38461538461538464,0.23497460671373718,0.2121617810760668,0.06579607370853549
014-2-3-5-6,0.4493927125506073,0.21987136837436236,0.20819221305543492,0.051418135741148695
