                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   014-2-3-5-6   44.94%     21.99%     20.82%     5.14%   
                   013-2-4-5-6   44.13%     23.99%     21.62%     4.68%   
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   015-2-3-4-6   41.30%     29.58%     24.48%     9.39%   
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   01-24-3-5-6   40.49%     23.10%     21.70%     6.52%   
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   01-2-35-4-6   38.87%     30.15%     25.15%     11.02%  
                   01-2-36-4-5   38.87%     31.04%     24.59%     10.78%  
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   01-2-3-46-5   37.65%     26.79%     22.37%     7.94%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   01-2-36-4-5   38.87%     31.04%     24.59%     10.78%  
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   01-2-35-4-6   38.87%     30.15%     25.15%     11.02%  
                   015-2-3-4-6   41.30%     29.58%     24.48%     9.39%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   01-2-3-46-5   37.65%     26.79%     22.37%     7.94%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   013-2-4-5-6   44.13%     23.99%     21.62%     4.68%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   01-24-3-5-6   40.49%     23.10%     21.70%     6.52%   
                   014-2-3-5-6   44.94%     21.99%     20.82%     5.14%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   01-2-35-4-6   38.87%     30.15%     25.15%     11.02%  
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   01-2-36-4-5   38.87%     31.04%     24.59%     10.78%  
                   015-2-3-4-6   41.30%     29.58%     24.48%     9.39%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   01-2-3-46-5   37.65%     26.79%     22.37%     7.94%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   01-24-3-5-6   40.49%     23.10%     21.70%     6.52%   
                   013-2-4-5-6   44.13%     23.99%     21.62%     4.68%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   014-2-3-5-6   44.94%     21.99%     20.82%     5.14%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-25-3-4-6   40.49%     30.92%     25.86%     11.75%  
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   01-2-3-4-56   38.06%     31.68%     25.42%     11.34%  
                   01-2-35-4-6   38.87%     30.15%     25.15%     11.02%  
                   01-2-36-4-5   38.87%     31.04%     24.59%     10.78%  
                   016-2-3-4-5   44.13%     30.57%     25.04%     9.52%   
                   015-2-3-4-6   41.30%     29.58%     24.48%     9.39%   
                   01-23-4-5-6   41.70%     26.03%     23.45%     8.55%   
                   01-2-3-46-5   37.65%     26.79%     22.37%     7.94%   
                   012-3-4-5-6   53.85%     27.57%     22.54%     7.84%   
                   01-2-3-45-6   37.25%     24.99%     22.24%     7.40%   
                   01-2-34-5-6   38.46%     23.50%     21.22%     6.58%   
                   01-24-3-5-6   40.49%     23.10%     21.70%     6.52%   
                   014-2-3-5-6   44.94%     21.99%     20.82%     5.14%   
                   013-2-4-5-6   44.13%     23.99%     21.62%     4.68%   
