R:A::C:P,0 5,1,2 3 4,6
0 5,0.048132183908045974,0.022270114942528736,0.042385057471264365,0.009339080459770116
1,0.08405172413793104,0.07255747126436782,0.08836206896551724,0.028735632183908046
2 3 4,0.08836206896551724,0.04741379310344827,0.14655172413793102,0.040948275862068964
6,0.08405172413793104,0.02586206896551724,0.10775862068965517,0.06321839080459771
