R:A::C:P,0,1,2,3,4,5 6
0,0.08502024291497975,0.020242914979757085,0.016194331983805668,0.012145748987854251,0.020242914979757085,0.016194331983805668
1,0.13360323886639677,0.05668016194331984,0.08906882591093117,0.05263157894736842,0.05263157894736842,0.07692307692307693
2,0.02834008097165992,0.032388663967611336,0.04048582995951417,0.032388663967611336,0.024291497975708502,0.06072874493927125
3,0.0,0.004048582995951417,0.012145748987854251,0.016194331983805668,0.004048582995951417,0.012145748987854251
4,0.004048582995951417,0.0,0.008097165991902834,0.008097165991902834,0.020242914979757085,0.004048582995951417
5 6,0.012145748987854251,0.004048582995951417,0.012145748987854251,0.020242914979757085,0.0,0.008097165991902834
