R:A::C:P,0 2 4,1 3,5 6
0 2 4,0.14295977011494254,0.09267241379310345,0.06752873563218391
1 3,0.16379310344827586,0.11566091954022989,0.06752873563218391
5 6,0.13290229885057472,0.08764367816091954,0.12931034482758622
