R:A::C:P,0 3 5,1,2,4 6
0 3 5,0.15723270440251572,0.03773584905660377,0.031446540880503145,0.06289308176100629
1,0.22012578616352202,0.11320754716981132,0.06918238993710692,0.03773584905660377
2,0.11949685534591195,0.025157232704402517,0.050314465408805034,0.018867924528301886
4 6,0.031446540880503145,0.0,0.006289308176100629,0.018867924528301886
