R:A::C:P,0 1,2 3,4 5
0 1,0.6363636363636364,0.3090909090909091,0.05454545454545454
2 3,0.3181818181818182,0.6818181818181818,0.0
4 5,0.3333333333333333,0.3333333333333333,0.3333333333333333
