R:A::C:P,0 1,2,3,4 5 6
0 1,0.30319148936170215,0.06648936170212766,0.05319148936170213,0.17819148936170212
2,0.07180851063829788,0.034574468085106384,0.02127659574468085,0.08776595744680851
3,0.005319148936170213,0.015957446808510637,0.007978723404255319,0.02925531914893617
4 5 6,0.023936170212765957,0.018617021276595744,0.015957446808510637,0.06648936170212766
