R:A::C:P,0 1 2 3,4 6,5
0 1 2 3,0.7871900826446281,0.6410256410256411,0.6764705882352942
4 6,0.1590909090909091,0.26153846153846155,0.20588235294117646
5,0.05371900826446281,0.09743589743589744,0.11764705882352941
