R:A::C:P,antag,fool,other,protag
antag,0.16666666666666666,0.08333333333333333,0.5,0.25
fool,0.5,0.0,0.0,0.5
other,0.23076923076923078,0.0,0.46153846153846156,0.3076923076923077
protag,0.13793103448275862,0.0,0.3448275862068966,0.5172413793103449
