R:A::C:P,0,1,2,3,4 5 6
0,0.4117647058823529,0.17647058823529413,0.14705882352941177,0.08823529411764706,0.17647058823529413
1,0.29646017699115046,0.1902654867256637,0.17699115044247787,0.084070796460177,0.252212389380531
2,0.15315315315315314,0.18018018018018017,0.21621621621621623,0.1891891891891892,0.26126126126126126
3,0.08823529411764706,0.08823529411764706,0.2647058823529412,0.14705882352941177,0.4117647058823529
4 5 6,0.1724137931034483,0.09195402298850575,0.12643678160919541,0.12643678160919541,0.4827586206896552
