R:A::C:P,0,1,2 6,3 4 5
0,0.2153846153846154,0.13953488372093023,0.08633093525179857,0.0935672514619883
1,0.5153846153846153,0.5,0.3669064748201439,0.38011695906432746
2 6,0.17692307692307693,0.27906976744186046,0.33093525179856115,0.3216374269005848
3 4 5,0.09230769230769231,0.08139534883720931,0.2158273381294964,0.2046783625730994
