R:A::C:P,0,1,2 6,3,4 5
0,0.2153846153846154,0.13953488372093023,0.08633093525179857,0.0967741935483871,0.09174311926605505
1,0.5153846153846153,0.5,0.3669064748201439,0.3064516129032258,0.42201834862385323
2 6,0.17692307692307693,0.27906976744186046,0.33093525179856115,0.3870967741935484,0.28440366972477066
3,0.023076923076923078,0.03488372093023256,0.10071942446043165,0.08064516129032258,0.08256880733944955
4 5,0.06923076923076923,0.046511627906976744,0.11510791366906475,0.12903225806451613,0.11926605504587157
