R:A::C:P,0,1,2 5,3 4 6
0,0.053231939163498096,0.022813688212927757,0.028517110266159697,0.024714828897338403
1,0.12737642585551331,0.0817490494296578,0.11216730038022814,0.10836501901140684
2 5,0.043726235741444866,0.04182509505703422,0.06653992395437262,0.10836501901140684
3 4 6,0.022813688212927757,0.017110266159695818,0.06844106463878327,0.07224334600760456
