R:A::C:P,0,1,2,3,4,5,6
0,23,13,6,5,12,9,5
1,60,70,35,31,23,26,35
2,23,31,30,24,25,26,13
3,4,8,9,9,6,8,6
4,7,1,9,4,7,8,3
5,7,7,5,7,9,12,10
6,12,17,12,15,24,13,17
