R:A::C:P,0,1,2 3 4,5 6
0,0.12598425196850394,0.0811965811965812,0.029850746268656716,0.019021739130434784
1,0.36220472440944884,0.43162393162393164,0.2294776119402985,0.1766304347826087
2 3 4,0.25196850393700787,0.28205128205128205,0.3805970149253731,0.31521739130434784
5 6,0.25984251968503935,0.20512820512820512,0.36007462686567165,0.4891304347826087
