R:A::C:P,0 6,1,2,3 4 5
0 6,0.08365019011406843,0.030418250950570342,0.026615969581749048,0.058935361216730035
1,0.1482889733840304,0.0817490494296578,0.07604562737642585,0.12357414448669202
2,0.051330798479087454,0.03802281368821293,0.045627376425855515,0.07604562737642585
3 4 5,0.049429657794676805,0.013307984790874524,0.030418250950570342,0.06653992395437262
