R:A::C:P,0 6,1,2,3 4 5
0 6,0.25142857142857145,0.18604651162790697,0.14893617021276595,0.18128654970760233
1,0.44571428571428573,0.5,0.425531914893617,0.38011695906432746
2,0.15428571428571428,0.23255813953488372,0.2553191489361702,0.23391812865497075
3 4 5,0.14857142857142858,0.08139534883720931,0.1702127659574468,0.2046783625730994
