R:A::C:P,0 1,2 3 4,5 6
0 1,0.8285714285714286,0.5333333333333333,0.5
2 3 4,0.14285714285714285,0.4266666666666667,0.42857142857142855
5 6,0.02857142857142857,0.04,0.07142857142857142
