R:A::C:P,0,1 2,3,4 5 6
0,0.16911764705882354,0.07509881422924901,0.05263157894736842,0.08754208754208755
1 2,0.6102941176470589,0.6561264822134387,0.5789473684210527,0.4983164983164983
3,0.029411764705882353,0.06719367588932806,0.09473684210526316,0.06734006734006734
4 5 6,0.19117647058823528,0.2015810276679842,0.2736842105263158,0.3468013468013468
