R:A::C:P,0 1 3,2 4,5,6
0 1 3,0.4864864864864865,0.3687150837988827,0.27058823529411763,0.2777777777777778
2 4,0.23123123123123124,0.2988826815642458,0.2529411764705882,0.2222222222222222
5,0.07207207207207207,0.0670391061452514,0.07647058823529412,0.05555555555555555
6,0.21021021021021022,0.26536312849162014,0.4,0.4444444444444444
