R:A::C:P,0 1 2,3,4 6,5
0 1 2,0.8985507246376812,0.6857142857142857,0.8448275862068966,0.8125
3,0.028985507246376812,0.11428571428571428,0.034482758620689655,0.125
4 6,0.036231884057971016,0.14285714285714285,0.10344827586206896,0.0625
5,0.036231884057971016,0.05714285714285714,0.017241379310344827,0.0
