R:A::C:P,0 1,2 4,3 5 6
0 1,0.5,0.2849162011173184,0.19963369963369965
2 4,0.20901639344262296,0.2988826815642458,0.25457875457875456
3 5 6,0.29098360655737704,0.41620111731843573,0.5457875457875457
