R:A::C:P,0 1 4,2,3 5
0 1 4,0.8181818181818182,0.5909090909090909,0.5714285714285714
2,0.1590909090909091,0.2727272727272727,0.42857142857142855
3 5,0.022727272727272728,0.13636363636363635,0.0
