R:A::C:P,0,1,2,3,4,5,p
0,11,3,4,0,0,0,1
1,11,9,13,1,0,1,1
2,5,4,6,1,0,0,3
3,0,0,3,0,0,0,0
4,0,0,1,1,0,0,0
5,0,1,0,0,0,0,0
p,1,0,1,0,0,0,0
